epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.785,3.45305,5.67552,3.0238,0.00021,0.04167,0.00016,2e-05,3.16906,5.32705,2.81818,0.00015827,0.00015827,0.00015827
2,102.583,3.52887,5.48878,3.05927,0.00031,0.01786,0.00019,2e-05,3.24472,5.32003,2.96113,0.000321654,0.000321654,0.000321654
3,152.046,3.32978,5.45445,2.85684,0.00013,0.03125,0.00175,0.00039,3.27815,5.28199,2.93339,0.000481739,0.000481739,0.000481739
4,200.241,3.15695,5.10306,2.75383,0.00029,0.07292,0.0013,0.00037,3.09742,5.25786,2.83003,0.000638525,0.000638525,0.000638525
5,249.844,3.13213,5.28125,2.65309,0.00086,0.13244,0.00089,0.00025,3.11996,5.28558,2.80666,0.000792013,0.000792013,0.000792013
6,300.42,3.08454,5.14704,2.63059,0.00074,0.14286,0.00061,0.0002,3.14754,5.43963,2.71332,0.000791767,0.000791767,0.000791767
7,349.959,3.23404,5.24582,2.70587,0.00089,0.16071,0.00068,0.00029,3.1634,5.35346,2.66873,0.00078352,0.00078352,0.00078352
8,400.821,3.05698,5.22359,2.61264,0.00105,0.18304,0.00085,0.00032,3.10421,5.22733,2.68129,0.000775273,0.000775273,0.000775273
9,450.767,3.24417,4.99123,2.67026,0.00052,0.08929,0.00046,0.00019,2.98445,5.13022,2.59148,0.000767026,0.000767026,0.000767026
10,499.653,3.16111,5.00063,2.5911,0.00065,0.07738,0.00115,0.00013,2.99645,5.10679,2.5995,0.00075878,0.00075878,0.00075878
