epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7848,3.78281,7.06346,3.32809,0,0,0,0,3.69151,5.85745,3.17239,2.415e-05,2.415e-05,2.415e-05
2,42.4241,3.58028,7.02187,3.13259,0,0,0,0,3.70883,5.94634,3.167,4.66267e-05,4.66267e-05,4.66267e-05
3,63.8285,3.36415,6.69575,3.01419,0,0,0,0,3.61548,6.02561,3.07561,6.36387e-05,6.36387e-05,6.36387e-05
4,85.4853,3.69373,6.87107,3.26997,0,0,0,0,3.64573,5.98296,2.9782,7.51858e-05,7.51858e-05,7.51858e-05
5,105.344,3.52542,6.70766,3.15848,0,0,0,0,3.65774,6.07799,2.9854,8.12682e-05,8.12682e-05,8.12682e-05
6,127.221,3.48054,6.85107,2.95623,0,0,0,0,3.63005,6.0456,2.96036,8.18857e-05,8.18857e-05,8.18857e-05
7,149.292,3.51916,6.69732,3.05898,0,0,0,0,3.61366,5.9431,2.89192,7.70385e-05,7.70385e-05,7.70385e-05
8,170.059,3.54312,6.68328,3.0663,0,0,0,0,3.59805,5.92546,2.86312,6.67265e-05,6.67265e-05,6.67265e-05
9,192.148,3.55833,6.72298,3.13393,0,0,0,0,3.61787,6.03737,2.86455,5.09496e-05,5.09496e-05,5.09496e-05
10,212.115,3.42691,6.73774,3.0237,0,0,0,0,3.61787,6.03737,2.86455,2.97079e-05,2.97079e-05,2.97079e-05
