epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.016,3.45305,5.67552,3.0238,0.00021,0.04167,0.00016,2e-05,3.16906,5.32705,2.81818,0.00015827,0.00015827,0.00015827
2,246.68,3.52887,5.48878,3.05927,0.00031,0.01786,0.00019,2e-05,3.24472,5.32003,2.96113,0.000321654,0.000321654,0.000321654
3,357.748,3.32978,5.45445,2.85684,0.00013,0.03125,0.00175,0.00039,3.27815,5.28199,2.93339,0.000481739,0.000481739,0.000481739
4,467.234,3.15695,5.10306,2.75383,0.00029,0.07292,0.0013,0.00037,3.09742,5.25786,2.83003,0.000638525,0.000638525,0.000638525
5,593.961,3.13213,5.28125,2.65309,0.00086,0.13244,0.00089,0.00025,3.11996,5.28558,2.80666,0.000792013,0.000792013,0.000792013
6,716.55,3.08454,5.14704,2.63059,0.00074,0.14286,0.00061,0.0002,3.14754,5.43963,2.71332,0.000791767,0.000791767,0.000791767
7,838.956,3.23404,5.24582,2.70587,0.00089,0.16071,0.00068,0.00029,3.1634,5.35346,2.66873,0.00078352,0.00078352,0.00078352
8,965.025,3.05698,5.22359,2.61264,0.00105,0.18304,0.00085,0.00032,3.10421,5.22733,2.68129,0.000775273,0.000775273,0.000775273
9,1054.09,3.24417,4.99123,2.67026,0.00052,0.08929,0.00046,0.00019,2.98445,5.13022,2.59148,0.000767026,0.000767026,0.000767026
10,1142.81,3.16111,5.00063,2.5911,0.00065,0.07738,0.00115,0.00013,2.99645,5.10679,2.5995,0.00075878,0.00075878,0.00075878
11,1225.39,3.14995,5.14181,2.55619,0.00057,0.07292,0.00055,0.00011,2.99239,5.05883,2.68182,0.000750533,0.000750533,0.000750533
12,1307.29,3.20977,5.07685,2.57876,0.00019,0.03125,0.0003,0.00017,2.99768,5.11467,2.7369,0.000742286,0.000742286,0.000742286
13,1389.18,3.09678,5.19869,2.48185,0.00021,0.03125,0.00019,0.0001,3.02299,5.15504,2.7421,0.00073404,0.00073404,0.00073404
14,1476.03,3.19828,4.98144,2.5437,0.00094,0.18155,0.00093,0.00029,2.99089,5.06369,2.62422,0.000725793,0.000725793,0.000725793
15,1558.41,3.1234,5.07666,2.5268,0.00072,0.13988,0.00162,0.0005,3.05475,5.05371,2.63046,0.000717546,0.000717546,0.000717546
16,1641.59,3.22017,5.06086,2.53295,0.00247,0.26637,0.00317,0.00088,3.26998,5.07369,2.61709,0.000709299,0.000709299,0.000709299
17,1725.87,3.1243,5.05807,2.49334,0.00048,0.16369,0.00065,0.00021,3.42003,5.08087,2.5669,0.000701053,0.000701053,0.000701053
18,1808.07,3.04981,4.94121,2.496,0.00031,0.05952,0.00029,0.00013,3.37044,5.1142,2.59887,0.000692806,0.000692806,0.000692806
19,1889.53,3.02693,4.94179,2.42395,0.00065,0.12202,0.00067,0.00024,3.22172,5.03383,2.57738,0.000684559,0.000684559,0.000684559
20,1968.39,2.98857,4.97788,2.46706,0.00053,0.12202,0.00066,0.00016,3.22412,4.97374,2.58771,0.000676313,0.000676313,0.000676313
21,2052.17,3.00645,4.9821,2.50255,0.00106,0.17113,0.00093,0.00021,3.15335,4.98485,2.57619,0.000668066,0.000668066,0.000668066
22,2145.2,3.09739,5.01636,2.51819,0.00035,0.05952,0.00034,8e-05,3.12225,5.01489,2.5835,0.000659819,0.000659819,0.000659819
23,2230.63,2.98723,5.13804,2.48554,0.00033,0.05952,0.00042,4e-05,3.09783,5.02173,2.55388,0.000651573,0.000651573,0.000651573
24,2320.83,3.09213,4.99936,2.53025,0.00054,0.09077,0.00068,0.00023,3.17966,5.03094,2.5292,0.000643326,0.000643326,0.000643326
25,2406.51,3.01525,4.97125,2.50427,0.00028,0.05357,0.00023,3e-05,3.29154,5.30577,2.51722,0.000635079,0.000635079,0.000635079
26,2501.74,2.98749,4.91515,2.4741,0.00013,0.01786,9e-05,1e-05,3.53021,5.37546,2.63466,0.000626832,0.000626832,0.000626832
27,2597.09,3.08956,5.15998,2.49282,0.00028,0.05357,0.00022,2e-05,3.44002,5.3819,2.5433,0.000618586,0.000618586,0.000618586
28,2692.4,3.07969,5.07157,2.45998,0.00074,0.07589,0.00045,0.00013,3.32724,5.2057,2.43644,0.000610339,0.000610339,0.000610339
