epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9993,3.5645,5.54143,3.09437,0.00028,0.0625,0.0003,0.00015,3.37141,5.56156,2.88421,9.163e-05,9.163e-05,9.163e-05
2,42.436,3.60816,6.9019,3.15115,0.00028,0.0625,0.00028,0.00015,3.36002,5.48018,2.91948,0.000153655,0.000153655,0.000153655
3,62.8148,3.53396,7.46594,2.86917,0.0003,0.0625,0.00024,0.00014,3.25941,5.52984,3.04582,0.000176096,0.000176096,0.000176096
4,96.3264,3.43314,5.70817,3.06081,0.00034,0.0625,0.00026,0.0001,3.33659,5.57148,3.04086,0.000158953,0.000158953,0.000158953
5,118.959,3.54372,6.14056,2.98369,0.00034,0.0625,0.00026,0.0001,3.51937,5.80762,3.20494,0.000102226,0.000102226,0.000102226
